,Country,City,AccentCity,Region,Population,Latitude,Longitude
151073,au,apsley station,Apsley Station,06,,-42.433333000000005,147.133333
151074,au,apunyal,Apunyal,04,,-27.066667,151.116667
151075,au,arable,Arable,02,,-36.35,149.033333
151076,au,arajoel,Arajoel,02,,-35.033333,146.883333
151077,au,arakoon,Arakoon,02,,-30.9,153.066667
151078,au,araluen,Araluen,02,,-35.616667,149.8
151079,au,araluen west,Araluen West,02,,-35.616667,149.8
151080,au,aramac,Aramac,04,,-22.968281,145.24496499999998
151081,au,aramara,Aramara,04,,-25.616667,152.316667
151082,au,arapiles,Arapiles,07,,-36.733333,141.85
151083,au,ararat,Ararat,07,6111.0,-37.285419,142.927277
151084,au,aratula,Aratula,04,,-27.983333,152.533333
151085,au,arawata,Arawata,07,,-38.4,145.866667
151086,au,arcadia,Arcadia,02,,-33.066666999999995,151.583333
151087,au,arcadia,Arcadia,07,,-36.566667,145.316667
151088,au,arcadia bay,Arcadia Bay,04,,-19.14938,146.866714
151089,au,archdale,Archdale,07,,-36.833333,143.51666699999998
151090,au,archer,Archer,04,,-23.583333,150.583333
151091,au,archer siding,Archer Siding,04,,-23.583333,150.583333
151092,au,archerton,Archerton,07,,-36.883333,146.2
151093,au,archies creek,Archies Creek,07,,-38.55,145.566667
151094,au,ardath,Ardath,08,,-32.033333,118.1
151095,au,ardglen,Ardglen,02,,-31.75,150.783333
151096,au,arding,Arding,02,,-30.566667,151.55
151097,au,ardlethan,Ardlethan,02,,-34.355751,146.89917
151098,au,ardmona,Ardmona,07,,-36.383333,145.3
151099,au,ardmon,Ardmon,07,,-36.383333,145.3
151100,au,ardno,Ardno,07,,-37.766667,141.0
151101,au,ardrossan,Ardrossan,05,,-34.422169,137.91906699999998
151102,au,areegra,Areegra,07,,-36.283333,142.633333
151103,au,argalong,Argalong,02,,-35.3,148.433333
151104,au,argents hill,Argents Hill,02,,-30.616667,152.75
151105,au,argoon,Argoon,02,,-34.916667,145.7
151106,au,argoon,Argoon,04,,-24.25,150.433333
151107,au,argyle,Argyle,07,,-36.95,144.73333300000002
151108,au,ariah park,Ariah Park,02,,-34.349339,147.221802
151109,au,arkona,Arkona,07,,-36.35,142.01666699999998
151110,au,arltunga,Arltunga,03,,-23.433333,134.683333
151111,au,arltunga mission,Arltunga Mission,03,,-23.433333,134.683333
151112,au,arltunga police station,Arltunga Police Station,03,,-23.433333,134.683333
151113,au,armadale,Armadale,07,,-37.85,145.01666699999998
151114,au,armadale,Armadale,08,,-32.15,116.0
151115,au,armadale north,Armadale North,07,,-37.85,145.033333
151116,au,armatree,Armatree,02,,-31.433333,148.466667
151117,au,armidale,Armidale,02,22673.0,-30.50828,151.671234
151118,au,armidale municipality,Armidale Municipality,02,,-30.516667,151.65
151119,au,armstrong,Armstrong,04,,-27.216667,152.833333
151120,au,armstrong,Armstrong,07,,-37.216667,142.9
151121,au,armstrong creek,Armstrong Creek,04,,-27.216667,152.833333
151122,au,armytage,Armytage,07,,-38.283333,143.883333
151123,au,arno bay,Arno Bay,05,,-33.9,136.566667
151124,au,arnold,Arnold,07,,-36.683333000000005,143.866667
151125,au,arnold west,Arnold West,07,,-36.666667,143.8
151126,au,arrawarra,Arrawarra,02,,-30.06053,153.199966
151127,au,arrilalah,Arrilalah,04,,-23.683333,143.883333
151128,au,arrino,Arrino,08,,-29.433333,115.616667
151129,au,artarman,Artarman,02,,-33.816666999999995,151.183333
151130,au,artarmon,Artarmon,02,,-33.816666999999995,151.183333
